	sample_id	condition	numEditsperBarcode_wt
0	Control1	Control	0.044415055951169895
1	Control2	Control	0.029232397560606825
2	Control3	Control	0.032720636162169206
3	Control4	Control	0.029796785321543166
4	Control5	Control	0.050851849452613854
5	Control6	Control	0.03201238305275126
6	Control7	Control	0.05659008090914704
7	Control8	Control	0.03827603446754698
8	Control9	Control	0.04659658065201232
9	Control10	Control	0.03242955874534822
10	Control11	Control	0.030481425658303044
11	Control12	Control	0.0301080540065772
12	Control13	Control	0.02952525061471534
13	Control14	Control	0.03117374328940947
14	Lba1	Lba	3.468898056960341
15	Lba2	Lba	1.866526026358206
16	Lba3	Lba	1.5863120856551747
17	Lba4	Lba	2.5635672262878457
18	Lba5	Lba	2.511220391983858
19	Lba6	Lba	3.1360502773591565
20	Lba7	Lba	3.0866706858438833
21	Lba8	Lba	3.621018418201517
22	Sau1	Sau	1.4521293025879316
23	Sau2	Sau	2.1856663925612
24	Sau3	Sau	1.6970870419604667
25	Sau4	Sau	1.9415621703190309
26	Sau5	Sau	1.6629252487850035
27	Sau6	Sau	1.598436032415194
28	Sau7	Sau	2.0726549018125935
29	Sau8	Sau	2.130281602158867
30	Spy1	Spy	1.4820923275931766
31	Spy2	Spy	1.348155467720685
32	Spy3	Spy	1.3452077356285197
33	Spy4	Spy	1.3774068536205788
34	Spy5	Spy	1.4004490057729315
35	Spy6	Spy	1.3429327808471452
36	Spy7	Spy	1.4342486486486488
37	ALL1	ALL	5.435084393639124
38	ALL2	ALL	6.436934774677905
39	ALL3	ALL	6.9006576560947535
40	ALL4	ALL	6.220900479763809
41	ALL5	ALL	6.174007233143552
42	ALL6	ALL	5.988973680588478
43	ALL7	ALL	3.999426449430338
44	ALL8	ALL	5.397905957060781
45	ALL9	ALL	5.177998982317771
46	ALL10	ALL	5.423884694577899
47	ALL11	ALL	4.941512199551192
48	ALL12	ALL	4.2810518396446104
49	ALL13	ALL	4.24474847751731
50	ALL14	ALL	6.359313707519155
51	ALL15	ALL	4.69128323944783
52	ALL16	ALL	5.269523404456416
53	ALL17	ALL	5.594908484566465
54	ALL18	ALL	3.86
55	ALL19	ALL	6.4386746754504935
56	ALL20	ALL	5.171509948811919
57	ALL21	ALL	4.832467719829763
58	ALL22	ALL	4.075783436881273
59	ALL23	ALL	5.641324435318275
60	ALL24	ALL	4.5677260290447705
61	ALL25	ALL	4.54585043220117
62	ALL26	ALL	4.197193023665512
63	ALL27	ALL	4.812355399012397
64	ALL28	ALL	4.39961962381694
65	ALL29	ALL	4.770383693045564
66	ALL30	ALL	4.591285100635892
67	ALL31	ALL	3.9795645434190132
68	ALL32	ALL	4.189391298480777
69	ALL33	ALL	4.30702280912365
70	ALL34	ALL	4.143983462333542
71	ALL35	ALL	2.970435087367947
72	hsp5-1	scGESTALT	3.9300549057054197
73	hsp5-2	scGESTALT	3.2031443938767064
74	hsp5-3	scGESTALT	3.820742358078603
75	hsp5-4	scGESTALT	3.598209966134494
76	hsp5-5	scGESTALT	3.428347514554411
77	hsp5-6	scGESTALT	3.9785298398835516
78	hsp5-7	scGESTALT	3.0571717398629668
79	hsp5-8	scGESTALT	3.40953947368421
80	30hr_1_0	GESTALT	1.2692024539877302
81	30hr_1_1x	GESTALT	4.347399411187438
82	30hr_2_0	GESTALT	2.463081130355515
83	30hr_2_1x	GESTALT	3.664500792393027
84	30hr_3_0	GESTALT	2.067837190742219
85	30hr_3_1x	GESTALT	3.4613659805372436
86	30hr_4_0	GESTALT	1.8526538956613916
87	30hr_4_1x	GESTALT	4.256293797041266
88	30hr_5_0	GESTALT	2.1842381786339757
89	30hr_5_1x	GESTALT	3.667838084081739
90	30hr_6_0	GESTALT	2.2537739130434784
91	30hr_6_1x	GESTALT	3.3235503632996153
92	3d_1_0	GESTALT	2.6788402283174215
93	3d_1_1x	GESTALT	2.042791218011467
94	3d_1b_0	GESTALT	2.7505834033417345
95	3d_1b_1x	GESTALT	2.042942978322338
96	3d_2_0	GESTALT	2.1934005499541707
97	3d_2_1x	GESTALT	3.5315629742033385
98	3d_3_0	GESTALT	2.781957054330595
99	3d_3_1x	GESTALT	3.0004521306657623
100	3d_4_0	GESTALT	2.3066083576287655
101	3d_4_1x	GESTALT	4.560405300077943
102	3d_5_0	GESTALT	2.556129349563507
103	3d_5_1x	GESTALT	5.549121813031161
104	3d_6_0	GESTALT	2.099109562524197
105	3d_6_1x	GESTALT	4.381046499531884
106	Dome_10_0	GESTALT	2.196419167983149
107	Dome_10_1x	GESTALT	3.40368963646229
108	Dome_1_1x	GESTALT	3.673314339981007
109	Dome_3_1x	GESTALT	2.5086737548964746
110	Dome_4_1x	GESTALT	3.1165048543689315
111	Dome_5_0	GESTALT	1.9828022255943347
112	Dome_5_1x	GESTALT	3.406633906633907
113	Dome_6_0	GESTALT	1.3884189980481458
114	Dome_7_0	GESTALT	1.98521584861029
115	Dome_8_1x	GESTALT	3.248995983935743
116	Dome_9_1x	GESTALT	3.1776649746192898
117	epi90_10_0	GESTALT	1.4406156673558466
118	epi90_12_0	GESTALT	2.3153167864141087
119	epi90_12_1x	GESTALT	3.1547297297297305
120	epi90_1_0	GESTALT	2.5053418803418803
121	epi90_2_0	GESTALT	2.7377142047868572
122	epi90_2_1x	GESTALT	2.9761171032357474
123	epi90_3_0	GESTALT	2.099464166108506
124	epi90_5_1x	GESTALT	2.546446558477896
125	epi90_8_1x	GESTALT	1.4428763440860213
126	epi90_9_0	GESTALT	2.062937062937063
127	epi90_9_1x	GESTALT	3.067013662979831
